"","price","amount"
"781","10387.22000000","0.00134200"
"782","10387.32000000","0.00105900"
"783","10387.33000000","0.00382400"
"784","10387.74000000","0.00350500"
"785","10387.84000000","0.00486800"
"786","10387.87000000","0.01000000"
"787","10387.96000000","0.00248500"
"788","10388.00000000","6.49135500"
"789","10388.23000000","0.00105900"
"790","10388.25000000","0.00537000"
"791","10388.36000000","0.09902500"
"792","10388.58000000","0.00275400"
"793","10388.65000000","0.01770000"
"794","10388.71000000","0.02127600"
"795","10388.72000000","0.01591000"
"796","10388.85000000","0.00207700"
"797","10388.88000000","0.01000000"
"798","10388.93000000","0.01123300"
"799","10388.95000000","0.03962600"
"800","10389.00000000","0.24191200"
"801","10389.20000000","0.00685100"
"802","10389.22000000","0.00301600"
"803","10389.36000000","0.00128300"
"804","10389.44000000","0.00765400"
"805","10389.47000000","0.01000000"
"806","10389.50000000","0.01676000"
"807","10389.64000000","0.00381300"
"808","10389.81000000","0.00119600"
"809","10389.93000000","0.00097900"
"810","10390.00000000","19.45033400"
"811","10390.05000000","0.00105900"
"812","10390.09000000","0.00500000"
"813","10390.10000000","0.00779100"
"814","10390.15000000","0.00105900"
"815","10390.25000000","0.00154600"
"816","10390.29000000","0.00128000"
"817","10390.42000000","0.00137300"
"818","10390.43000000","0.00192800"
"819","10390.71000000","0.01000000"
